Ejercicio,q,nombreQ,idMunicipio,programa,subPrograma,nombre,noLocalidad,ejecutor,obraOAccion,modalidad,situacion,federal,estatal,municipal,beneficiarios,otros,meta,metaCantidad,tipoBeneficiario,numeroMujeres,numeroHombres,fechaInicio,fechaTermino,tieneProyecto,tieneExpTec,coordenadas - descripcion,coordenadas - geometria,coordenadas - tipoCoordenada,coordenadas - esCentroDeObra,estatus,porcentajeAvance,idRubro,idEjeEstrategico
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,LONCHERIA SOFI,0029,SDES,2,AD,IT,0,"$19,999.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,PASTELERIA ROX,0001,SDES,2,AD,IT,0,"$47,231.00",0,3,0,PERSONAS,3,PERSONA,1,2,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,FUENTE DE SODAS HURTADO,0001,SDES,2,AD,IT,0,"$37,032.00",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,DOLORES HIDALGO_CABECERA_1101400010339,"[21.14695497552271775,-100.92082601294002586]",point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,LA COCINA DE ALEJANDRA,0001,SDES,2,AD,IT,0,"$34,959.00",0,2,0,PERSONAS,2,PERSONA,2,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,ABRIL DESAYUNOS Y COMIDAS,0001,SDES,2,AD,IT,0,"$19,100.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CENADURIA ALI,0001,SDES,2,AD,IT,0,"$21,587.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,COLMENERO REPOSTERIA,0001,SDES,2,AD,IT,0,"$30,146.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,VILLAGRAN_VILLAGRAN CENTRO_110440001,"[20.51281143485090652,-100.99592159219334064]",point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TAQUERIA EL FOQUITO,0001,SDES,2,AD,IT,0,"$18,890.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,SANTIAGO MARAVATIO_SANTIAGO MARAVATIO_11036,"[20.15823338982049862,-100.9903642592975217]",point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,DESAYUNOS ARELY,0001,SDES,2,AD,IT,0,"$18,934.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,E.C.PIZZAS,0001,SDES,2,AD,IT,0,"$31,278.00",0,2,0,PERSONAS,2,PERSONA,1,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
